\\Yearly Intertie Schedule and Flow Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Created at 2021-01-31 08:02:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\For 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MANITOBA,MANITOBA,MANITOBA,MANITOBA SK,MANITOBA SK,MANITOBA SK,MICHIGAN,MICHIGAN,MICHIGAN,MINNESOTA,MINNESOTA,MINNESOTA,NEW-YORK,NEW-YORK,NEW-YORK,PQ.AT,PQ.AT,PQ.AT,PQ.B5D.B31L,PQ.B5D.B31L,PQ.B5D.B31L,PQ.D4Z,PQ.D4Z,PQ.D4Z,PQ.D5A,PQ.D5A,PQ.D5A,PQ.H4Z,PQ.H4Z,PQ.H4Z,PQ.H9A,PQ.H9A,PQ.H9A,PQ.P33C,PQ.P33C,PQ.P33C,PQ.Q4C,PQ.Q4C,PQ.Q4C,PQ.X2Y,PQ.X2Y,PQ.X2Y,Total,Total,net_flow
Date,Hour,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,net_flow
1/01/2020,1,64,167,70,0,0,5,0,800,650,0,0,-5,0,1258,1372,9,1133,1126,0,0,205,0,0,0,0,0,0,0,34,35,0,0,0,0,0,0,0,0,24,0,0,0,73,3392,3482
1/01/2020,2,64,81,34,0,0,5,0,800,578,0,0,15,0,1285,1411,9,1133,1136,0,0,222,0,0,0,0,0,0,0,34,33,0,0,0,0,0,0,0,0,23,0,0,0,73,3333,3457
1/01/2020,3,111,96,-7,0,0,5,0,800,685,0,0,-1,0,1390,1411,9,1239,1235,0,0,223,0,0,0,0,0,0,0,34,28,0,0,0,0,0,0,0,0,23,0,0,0,120,3559,3602
1/01/2020,4,125,96,-18,0,0,5,0,800,665,0,0,1,0,1443,1484,9,1239,1235,0,0,222,0,0,0,0,0,0,0,34,26,0,0,0,0,0,1,0,0,23,0,0,0,134,3612,3644
1/01/2020,5,45,140,77,0,0,5,0,800,663,0,1,-4,0,1440,1520,9,1239,1235,0,0,223,0,0,0,0,0,0,0,34,23,0,0,0,0,0,1,0,0,46,0,0,0,54,3654,3789
1/01/2020,6,63,164,95,0,0,5,0,800,783,0,0,3,0,1417,1343,9,1239,1232,0,0,222,0,0,0,0,0,0,0,34,24,0,0,0,0,0,1,0,0,47,0,0,0,72,3654,3755
1/01/2020,7,119,96,-4,0,0,5,0,800,966,0,0,0,0,1404,1115,9,1239,1229,0,0,222,0,0,0,0,0,0,0,34,31,0,0,0,0,0,1,0,0,47,0,0,0,128,3573,3612
1/01/2020,8,114,0,-101,0,0,5,0,800,915,0,0,1,0,1292,1210,9,1239,1229,0,0,223,0,0,0,0,0,0,0,34,32,0,0,0,0,0,1,0,0,47,0,0,0,123,3365,3562
1/01/2020,9,118,168,30,0,0,5,0,800,636,0,0,-6,0,1100,1190,9,1239,1229,0,0,223,0,0,0,0,0,0,0,34,34,0,0,0,0,0,1,0,0,47,0,0,0,127,3341,3389
1/01/2020,10,123,96,-14,0,0,5,0,762,647,0,29,2,0,1100,1188,9,1239,1229,0,0,223,0,0,0,0,0,0,0,34,31,0,0,0,0,0,1,0,0,47,0,0,0,132,3260,3359
1/01/2020,11,85,88,-3,0,0,5,0,800,790,0,61,56,0,1100,1050,9,1239,1229,0,0,223,0,0,0,0,0,0,0,34,33,0,0,0,0,0,1,0,0,69,0,0,0,94,3322,3453
1/01/2020,12,75,135,41,0,0,5,0,750,770,0,61,56,0,1000,956,9,1239,1229,0,0,223,0,0,0,0,0,0,0,34,36,0,0,0,0,0,1,0,0,70,0,0,0,84,3219,3387
1/01/2020,13,22,83,59,0,0,5,0,800,651,0,61,59,0,1100,1155,9,1239,1229,0,0,222,0,0,0,0,0,0,0,34,35,0,0,0,0,0,1,0,0,70,0,0,0,31,3317,3486
1/01/2020,14,24,130,92,0,0,5,0,775,644,0,32,31,0,1100,1179,9,1239,1230,0,0,222,0,0,0,0,0,0,0,34,32,0,0,0,0,0,1,0,0,70,0,0,0,33,3310,3506
1/01/2020,15,45,146,94,0,0,5,0,800,613,0,32,31,0,1100,1246,9,1146,1125,0,0,221,0,0,0,0,0,0,0,34,40,0,0,0,0,0,1,0,0,90,0,0,0,54,3258,3466
1/01/2020,16,45,94,51,0,0,5,0,800,656,19,0,-21,0,1100,1290,9,448,449,0,0,222,0,0,0,0,0,0,0,34,40,0,0,0,0,0,1,0,0,91,0,0,0,73,2476,2784
1/01/2020,17,45,119,59,0,0,5,0,800,707,0,32,32,0,1100,1251,9,142,136,0,0,222,0,0,0,0,0,0,0,34,36,0,0,0,0,0,1,0,0,91,0,0,0,54,2227,2540
1/01/2020,18,63,164,93,0,0,5,0,800,678,0,32,32,0,1100,1218,9,142,133,0,0,222,0,0,0,0,0,0,0,34,36,0,0,0,0,0,1,0,0,91,0,0,0,72,2272,2509
1/01/2020,19,133,156,45,0,0,5,0,750,624,0,61,61,0,1290,1396,9,142,132,0,0,222,0,0,0,0,0,0,0,34,38,0,0,0,0,0,1,0,0,90,0,0,0,142,2433,2614
1/01/2020,20,75,212,114,0,0,5,0,777,695,65,61,-4,0,1250,1431,9,142,141,0,0,221,0,0,0,0,0,0,0,34,37,0,0,0,0,0,0,0,0,90,0,0,0,149,2476,2730
1/01/2020,21,45,212,120,0,0,5,0,775,725,65,29,-32,0,1300,1358,9,469,464,0,0,222,0,0,0,0,0,0,0,34,42,0,0,0,0,0,0,0,0,90,0,0,0,119,2819,2994
1/01/2020,22,45,195,116,0,0,5,0,800,950,19,0,-19,0,1401,1324,9,1042,1019,0,0,223,0,0,0,0,0,0,0,34,44,0,0,0,0,0,1,0,0,90,0,0,0,73,3472,3753
1/01/2020,23,50,0,-27,0,0,5,0,900,929,0,32,30,0,1401,1328,9,1239,1227,0,0,222,0,0,0,0,0,0,0,34,41,0,0,0,0,0,1,0,0,69,0,0,0,59,3606,3825
1/01/2020,24,132,214,65,0,0,5,0,900,784,0,32,30,0,1155,1303,9,1239,1230,0,0,209,0,0,0,0,0,0,0,34,40,0,0,0,0,0,1,0,0,69,0,0,0,141,3574,3736
2/01/2020,1,109,96,-5,0,0,4,0,799,742,0,0,0,0,1339,1361,9,1239,1230,0,0,0,0,0,0,0,0,0,0,34,40,0,0,0,0,0,1,0,0,25,0,0,0,118,3507,3398
2/01/2020,2,69,164,78,0,0,4,0,900,915,0,0,-1,0,1444,1477,9,1239,1230,0,0,0,0,0,0,0,0,0,0,34,44,0,0,0,0,0,1,0,0,23,0,0,0,78,3781,3771
2/01/2020,3,69,199,94,0,0,4,0,800,914,0,0,1,0,1400,1370,9,1239,1230,0,0,0,0,0,0,0,0,0,0,34,39,0,0,0,0,0,1,0,0,23,0,0,0,78,3672,3676
2/01/2020,4,111,54,-39,0,0,4,0,900,863,0,0,-2,0,1349,1400,9,1239,1230,0,0,0,0,0,0,0,0,0,0,34,38,0,0,0,0,0,1,0,0,23,0,0,0,120,3576,3518
2/01/2020,5,106,100,-12,0,0,4,0,900,709,0,0,0,0,1400,1555,9,1239,1230,0,0,0,0,0,0,0,0,0,0,34,38,0,0,0,0,0,1,0,0,46,0,0,0,115,3673,3571
2/01/2020,6,95,96,-14,0,0,4,0,900,797,0,0,-4,0,1450,1530,9,1239,1231,0,0,0,0,0,0,0,0,0,0,34,37,0,0,0,0,0,1,0,0,47,0,0,0,104,3719,3629
2/01/2020,7,45,138,66,0,0,4,0,900,994,46,29,-18,0,1400,1313,9,1239,1228,0,0,0,0,0,0,0,0,0,0,34,42,0,0,0,0,0,1,0,0,47,0,0,0,100,3740,3677
2/01/2020,8,73,199,126,0,0,5,0,900,982,0,0,2,0,1621,1539,9,1144,1131,0,0,0,0,0,0,0,0,0,0,34,39,0,0,0,0,0,1,0,0,47,0,0,0,82,3898,3872
2/01/2020,9,57,164,102,0,0,5,0,900,1023,0,0,0,0,1750,1553,9,1044,1034,0,0,0,0,0,0,0,0,0,0,34,43,0,0,0,0,0,1,0,0,47,0,0,0,66,3892,3808
2/01/2020,10,55,96,58,0,0,5,0,900,1051,25,32,12,0,1737,1495,9,1044,1032,0,0,0,0,0,0,0,0,0,0,34,33,0,0,0,0,0,0,0,0,48,0,0,0,89,3843,3734
2/01/2020,11,38,96,62,0,0,5,0,900,990,0,32,36,0,1200,1071,9,1049,1046,0,0,0,0,0,0,0,0,0,0,34,31,0,0,0,0,0,0,0,0,70,0,0,0,47,3311,3311
2/01/2020,12,0,184,164,0,0,5,0,900,931,0,32,30,0,850,861,9,1239,1233,0,0,0,0,0,0,0,0,0,0,34,31,0,0,0,0,0,0,0,0,70,0,0,0,9,3239,3325
2/01/2020,13,19,208,170,0,0,5,0,820,749,0,32,31,0,575,637,9,1239,1236,0,0,0,0,0,0,0,0,0,0,34,33,0,0,0,0,0,1,0,0,71,0,0,0,28,2908,2933
2/01/2020,14,19,208,192,0,0,5,0,900,931,0,32,30,0,850,805,9,1239,1236,0,0,0,0,0,0,0,0,0,0,34,36,0,0,0,0,0,0,0,0,71,0,0,0,28,3263,3306
2/01/2020,15,45,137,108,0,0,5,0,900,947,0,61,62,0,850,772,9,1239,1235,0,0,0,0,0,0,0,0,0,0,34,40,0,0,0,0,0,0,0,0,91,0,0,0,54,3221,3260
2/01/2020,16,54,164,108,0,0,5,0,900,903,65,91,30,40,723,648,9,1239,1220,0,0,0,0,0,0,0,0,0,0,34,42,0,0,0,0,0,0,0,0,92,0,0,0,168,3151,3048
2/01/2020,17,86,205,107,0,0,5,0,900,791,65,91,25,40,640,741,9,495,507,0,0,0,0,0,0,0,0,0,0,34,41,0,0,0,0,0,0,0,0,91,0,0,0,200,2365,2308
2/01/2020,18,74,205,126,0,0,5,0,900,843,25,61,31,45,421,516,9,592,582,0,0,0,0,0,0,0,0,0,0,34,43,0,0,0,0,0,0,0,0,91,0,0,0,153,2213,2237
2/01/2020,19,45,186,127,0,0,5,0,900,977,10,61,52,69,669,501,9,641,632,0,0,0,0,0,0,0,0,0,0,34,40,0,0,0,0,0,1,0,0,91,0,0,0,133,2491,2426
2/01/2020,20,45,193,144,0,0,5,0,900,1043,7,61,53,101,701,423,9,701,686,0,0,0,0,0,0,0,0,0,0,34,39,0,0,0,0,0,1,0,0,91,0,0,0,162,2590,2485
2/01/2020,21,45,205,163,0,0,5,0,900,1110,3,29,26,97,697,414,9,573,570,0,0,0,0,0,0,0,0,0,0,34,37,0,0,0,0,0,0,0,0,91,0,0,0,154,2438,2416
2/01/2020,22,45,157,119,0,0,5,0,900,914,0,67,63,0,600,549,9,886,883,0,0,0,0,0,0,0,0,0,0,34,35,0,0,0,0,0,1,0,0,90,0,0,0,54,2644,2659
2/01/2020,23,45,96,63,0,0,5,0,900,1007,11,29,20,40,840,691,9,1239,1233,0,0,0,0,0,0,0,0,0,0,34,36,0,0,0,0,0,0,0,0,70,0,0,0,105,3138,3125
2/01/2020,24,45,193,146,0,0,5,0,900,961,3,29,24,0,800,707,9,1239,1236,0,0,0,0,0,0,0,0,0,0,34,36,0,0,0,0,0,0,0,0,70,0,0,0,57,3195,3185
3/01/2020,1,63,130,79,0,0,5,0,899,844,0,29,33,0,731,760,9,1239,1236,0,0,0,0,0,0,0,0,0,0,34,35,0,0,0,0,0,0,0,0,25,0,0,0,72,3062,3017
3/01/2020,2,0,158,137,0,0,5,0,861,943,0,52,46,0,927,865,9,1239,1236,0,0,0,0,0,0,0,0,0,0,34,33,0,0,0,0,0,0,0,0,23,0,0,0,9,3271,3288
3/01/2020,3,45,122,81,0,0,4,0,861,915,0,29,32,0,1000,900,9,1239,1231,0,0,0,0,0,0,0,0,0,0,34,29,0,0,0,0,0,0,0,0,24,0,0,0,54,3285,3216
3/01/2020,4,57,96,39,0,0,4,0,900,917,0,61,57,0,1000,981,9,1239,1224,0,0,0,0,0,0,0,0,0,0,34,30,0,0,0,0,0,0,0,0,24,0,0,0,66,3330,3276
3/01/2020,5,55,164,92,0,0,4,0,900,929,0,61,58,0,1337,1235,9,1239,1217,0,0,0,0,0,0,0,0,0,0,34,31,0,0,0,0,0,1,0,0,47,0,0,0,64,3735,3614
3/01/2020,6,52,96,55,0,0,4,0,900,1019,0,61,59,0,1362,1186,9,1021,988,0,0,0,0,0,0,0,0,0,0,34,38,0,0,0,0,0,1,0,0,48,0,0,0,61,3474,3398
3/01/2020,7,21,179,136,0,0,5,0,900,861,0,61,58,0,1101,1159,9,265,258,0,0,0,0,0,0,0,0,0,0,34,39,0,0,0,0,0,1,0,0,48,0,0,0,30,2540,2565
3/01/2020,8,22,111,99,0,0,5,0,810,823,0,61,61,0,1000,925,9,144,118,0,0,0,0,0,0,0,0,0,0,34,46,0,0,0,0,0,1,0,0,70,0,0,0,31,2160,2148
3/01/2020,9,0,141,127,0,0,5,0,830,793,0,79,78,0,806,888,9,144,115,0,0,0,0,0,0,0,0,0,0,34,41,0,0,0,0,0,1,0,0,71,0,0,0,9,2034,2119
3/01/2020,10,0,146,143,0,0,5,0,773,721,0,30,30,0,492,501,9,144,115,0,0,0,0,0,0,0,0,0,0,34,35,0,0,0,0,0,1,0,0,71,0,0,0,9,1619,1622
3/01/2020,11,0,140,132,0,0,5,0,874,921,0,96,82,0,642,562,9,144,115,0,0,0,0,0,0,0,0,0,0,34,33,0,0,0,0,0,1,0,0,71,0,0,0,9,1930,1922
3/01/2020,12,86,96,14,0,0,5,0,821,825,0,91,89,60,525,411,9,144,104,0,0,0,0,0,0,0,0,0,0,34,24,0,0,0,0,0,1,0,0,70,0,0,0,155,1711,1543
3/01/2020,13,98,129,20,0,0,4,0,899,880,0,101,93,75,770,783,330,144,-193,0,0,0,0,0,0,0,0,0,0,34,5,0,0,0,0,0,1,0,0,92,0,0,0,503,2077,1685
3/01/2020,14,0,129,118,0,0,4,0,900,841,0,32,32,125,725,746,136,142,28,0,0,0,0,0,0,0,0,0,0,34,6,0,0,0,0,0,1,0,0,92,0,0,0,261,1962,1868
3/01/2020,15,18,129,103,0,0,4,0,864,750,0,91,90,35,598,640,57,142,75,0,0,0,0,0,0,0,0,0,0,34,10,0,0,0,0,0,0,0,0,92,0,0,0,110,1858,1764
3/01/2020,16,45,129,95,0,0,4,0,900,790,0,91,90,60,720,708,57,142,77,0,0,0,0,0,0,0,0,0,0,34,11,0,0,0,0,0,1,0,0,91,0,0,0,162,2016,1867
3/01/2020,17,0,129,122,0,0,5,0,900,728,0,74,74,25,726,796,57,142,64,0,0,0,0,0,0,0,0,0,0,34,16,0,0,0,0,0,1,0,0,91,0,0,0,82,2005,1897
3/01/2020,18,0,87,92,0,0,5,0,900,777,0,48,49,0,945,1105,329,142,-193,0,0,2,0,0,0,0,0,0,0,34,16,0,0,0,0,0,1,0,0,91,0,0,0,329,2156,1945
3/01/2020,19,0,131,115,0,0,5,0,900,809,0,62,58,0,981,1078,329,144,-193,0,0,2,0,0,0,0,0,0,0,34,11,0,0,0,0,0,1,0,0,91,0,0,0,329,2252,1977
3/01/2020,20,0,134,137,0,0,5,0,900,984,0,32,35,0,1073,913,320,144,-188,0,0,199,0,0,0,0,0,0,0,34,8,0,0,0,0,0,1,0,0,91,0,0,0,320,2317,2185
3/01/2020,21,0,0,15,0,0,5,0,1131,1052,0,62,59,0,612,666,330,144,-195,0,0,216,0,0,0,0,0,0,0,34,12,0,0,0,0,0,1,0,0,91,0,0,0,330,1983,1922
3/01/2020,22,0,42,42,0,0,5,0,1214,1096,0,44,44,0,577,692,295,144,-163,0,0,216,0,0,0,0,0,0,0,34,8,0,0,0,0,0,1,0,0,91,0,0,0,295,2055,2032
3/01/2020,23,0,96,76,0,0,4,0,1064,927,0,130,126,0,480,576,48,144,73,0,0,216,0,0,0,0,0,0,0,34,33,0,0,0,0,0,1,0,0,84,0,0,0,48,1948,2116
3/01/2020,24,0,106,90,0,0,4,0,1213,1122,0,130,127,0,510,547,239,144,-100,0,0,215,0,0,0,0,0,0,0,34,40,0,0,0,0,0,1,0,0,91,0,0,0,239,2137,2137
4/01/2020,1,0,43,54,0,0,4,0,1283,1330,0,94,95,0,860,756,48,142,77,0,0,215,0,0,0,0,0,0,0,34,40,0,0,0,0,0,1,0,0,70,0,0,0,48,2456,2642
4/01/2020,2,0,137,123,0,0,4,0,1400,1521,0,59,55,0,1003,869,9,142,120,0,0,215,0,0,0,0,0,0,0,34,36,0,0,0,0,0,1,0,0,47,0,0,0,9,2775,2991
4/01/2020,3,23,179,136,0,0,4,0,1450,1334,0,59,58,0,835,898,9,142,120,0,0,214,0,0,0,0,0,0,0,34,31,0,0,0,0,0,1,0,0,46,0,0,0,32,2699,2842
4/01/2020,4,0,96,105,0,0,4,0,1450,1344,0,73,75,0,1110,1123,9,142,120,0,0,214,0,0,0,0,0,0,0,34,34,0,0,0,0,0,1,0,0,47,0,0,0,9,2905,3067
4/01/2020,5,1,137,124,0,0,4,0,1403,1310,0,29,29,0,1110,1139,9,144,120,0,0,215,0,0,0,0,0,0,0,34,37,0,0,0,0,0,1,0,0,46,0,0,0,10,2857,3025
4/01/2020,6,0,54,64,0,0,4,0,1342,1273,0,61,62,0,1360,1308,9,142,118,0,0,214,0,0,0,0,0,0,0,34,37,0,0,0,0,0,1,0,0,46,0,0,0,9,2993,3127
4/01/2020,7,0,92,77,0,0,4,0,1188,1239,0,130,126,0,1080,966,68,142,61,0,0,214,0,0,0,0,0,0,0,34,40,0,0,0,0,0,0,0,0,68,0,0,0,68,2666,2795
4/01/2020,8,0,88,101,0,0,4,0,1116,1225,0,97,100,0,930,735,48,142,71,0,0,215,0,0,0,0,0,0,0,34,42,0,0,0,0,0,0,0,0,69,0,0,0,48,2407,2562
4/01/2020,9,0,92,94,0,0,4,0,1053,1163,0,97,93,0,1021,839,324,142,-187,0,0,215,0,0,0,0,0,0,0,34,41,0,0,0,0,0,0,0,0,69,0,0,0,324,2439,2331
4/01/2020,10,0,139,129,0,0,4,0,1182,1072,0,97,97,0,799,845,243,142,-113,0,0,210,0,0,0,0,0,0,0,34,42,0,0,0,0,0,1,0,0,70,0,0,0,243,2393,2357
4/01/2020,11,0,146,136,0,0,4,0,1204,1030,0,91,89,0,836,961,160,142,-52,0,0,0,0,0,0,0,0,0,0,34,41,0,0,0,0,0,1,0,0,70,0,0,0,160,2453,2280
4/01/2020,12,0,88,104,0,0,4,0,1425,1330,0,90,93,0,1144,1186,1130,142,-959,0,0,0,0,0,0,0,0,0,0,34,43,0,0,0,0,0,1,0,0,70,0,0,0,1130,2923,1872
4/01/2020,13,34,146,92,0,0,4,0,1250,1399,0,126,120,0,1259,1072,1059,142,-916,0,0,0,0,0,0,0,0,0,0,34,44,0,0,0,0,0,1,0,0,70,0,0,0,1093,2957,1886
4/01/2020,14,35,146,101,0,0,4,0,1229,1341,0,126,120,0,1034,887,389,142,-296,0,0,0,0,0,0,0,0,0,0,34,44,0,0,0,0,0,1,0,0,70,0,0,0,424,2711,2272
4/01/2020,15,0,107,90,0,0,4,0,1248,1474,0,126,123,0,1136,911,1212,142,-1051,0,0,0,0,0,0,0,0,0,0,34,40,0,0,0,0,0,1,0,0,91,0,0,0,1212,2793,1683
4/01/2020,16,45,152,83,0,0,4,0,1247,1443,0,126,127,0,1222,991,1306,142,-1165,0,0,0,0,0,0,0,0,0,0,34,43,0,0,0,0,0,1,0,0,91,0,0,0,1351,2923,1618
4/01/2020,17,0,109,95,0,0,5,0,1450,1461,0,126,126,0,1215,1292,1314,142,-1162,0,0,0,0,0,0,0,0,0,0,34,52,0,0,0,0,0,1,0,0,1,0,0,0,1314,3076,1871
4/01/2020,18,35,146,118,0,0,5,0,1408,1281,0,126,128,0,1234,1334,848,142,-729,0,0,0,0,0,0,0,0,0,0,34,45,0,0,0,0,0,1,0,0,0,0,0,0,883,3090,2183
4/01/2020,19,0,55,62,0,0,5,0,1450,1417,0,126,124,0,1373,1420,691,142,-550,0,0,0,0,0,0,0,0,0,0,34,47,0,0,0,0,0,1,0,0,0,0,0,0,691,3180,2526
4/01/2020,20,45,199,149,0,0,5,0,1450,1275,0,82,84,0,1214,1302,235,142,-115,0,0,0,0,0,0,0,0,0,0,34,45,0,0,0,0,0,1,0,0,-1,0,0,0,280,3121,2745
4/01/2020,21,45,171,141,0,0,5,0,1450,1277,0,66,67,0,1192,1300,258,142,-128,0,0,0,0,0,0,0,0,0,0,34,43,0,0,0,0,0,1,0,0,-1,0,0,0,303,3055,2705
4/01/2020,22,40,164,131,0,0,5,0,1383,1433,0,61,59,0,1209,1199,48,142,74,0,0,0,0,0,0,0,0,0,0,34,41,0,0,0,0,0,1,0,0,86,0,0,0,88,2993,3029
4/01/2020,23,65,96,38,0,0,5,0,1345,1410,0,61,58,0,1134,1112,9,142,121,0,0,0,0,0,0,0,0,0,0,34,36,0,0,0,0,0,1,0,0,70,0,0,0,74,2812,2851
4/01/2020,24,70,168,84,0,0,5,0,1326,1319,0,29,26,0,1159,1135,9,189,174,0,0,0,0,0,0,0,0,0,0,34,38,0,0,0,0,0,0,0,0,48,0,0,0,79,2905,2829
5/01/2020,1,96,168,86,0,0,4,0,1315,1337,0,29,28,0,1450,1432,9,434,419,0,0,0,0,0,0,0,0,0,0,34,37,0,0,0,0,0,0,0,0,47,0,0,0,105,3430,3390
5/01/2020,2,84,191,91,0,0,4,0,1450,1464,0,29,25,0,1450,1455,9,893,864,0,0,0,0,0,0,0,0,0,0,34,36,0,0,0,0,0,0,0,0,24,0,0,0,93,4047,3963
5/01/2020,3,98,168,84,0,0,4,0,1450,1506,0,29,32,0,1450,1314,9,942,932,0,0,0,0,0,0,0,0,0,0,34,36,0,0,0,0,0,1,0,0,23,0,0,0,107,4073,3932
5/01/2020,4,74,207,115,0,0,4,0,1450,1488,0,29,24,0,1450,1406,9,1239,1212,0,0,0,0,0,0,0,0,0,0,34,37,0,0,0,0,0,1,0,0,24,0,0,0,83,4409,4311
5/01/2020,5,88,204,116,0,0,4,0,1450,1364,0,29,23,0,1450,1471,9,1091,1074,0,0,0,0,0,0,0,0,0,0,34,26,0,0,0,0,0,0,0,0,46,0,0,0,97,4258,4124
5/01/2020,6,29,180,126,0,0,4,0,1450,1344,0,29,30,0,1450,1504,9,1129,1098,0,0,0,0,0,0,0,0,0,0,34,18,0,0,0,0,0,0,0,0,47,0,0,0,38,4272,4171
5/01/2020,7,36,142,107,0,0,4,0,1450,1306,0,29,29,0,1449,1631,48,414,362,0,0,0,0,0,0,0,0,0,0,34,20,0,0,0,0,0,0,0,0,47,0,0,0,84,3518,3506
5/01/2020,8,0,96,47,0,0,4,0,1450,1268,0,111,103,0,1113,1293,48,142,82,0,0,0,0,0,0,0,0,0,0,34,20,0,0,0,0,0,0,0,0,69,0,0,0,48,2946,2886
5/01/2020,9,37,54,26,0,0,4,0,1450,1256,0,80,84,0,990,1114,48,142,79,0,0,0,0,0,0,0,0,0,0,34,19,0,0,0,0,0,1,0,0,91,0,0,0,85,2750,2674
5/01/2020,10,0,108,93,0,0,4,0,1450,1334,0,126,125,0,1041,1109,48,144,79,0,0,0,0,0,0,0,0,0,0,34,21,0,0,0,0,0,1,0,0,91,0,0,0,48,2903,2857
5/01/2020,11,0,96,103,0,0,5,0,1450,1469,0,130,128,0,925,974,48,144,81,0,0,0,0,0,0,0,0,0,0,34,21,0,0,0,0,0,0,0,0,91,0,0,0,48,2779,2872
5/01/2020,12,0,97,99,0,0,5,0,1404,1301,0,95,94,0,1114,1145,9,144,122,0,0,0,0,0,0,0,0,0,0,34,20,0,0,0,0,0,0,0,0,91,0,0,0,9,2888,2877
5/01/2020,13,5,96,85,0,0,5,0,1450,1343,0,61,60,0,1189,1331,9,144,123,0,0,0,0,0,0,0,0,0,0,34,20,0,0,0,0,0,0,0,0,90,0,0,0,14,2974,3057
5/01/2020,14,24,96,70,0,0,5,0,1450,1270,0,94,89,0,1313,1375,9,176,153,0,0,0,0,0,0,0,0,0,0,34,16,0,0,0,0,0,0,0,0,69,0,0,0,33,3163,3047
5/01/2020,15,45,180,127,0,0,4,0,1450,1370,0,61,57,0,1230,1333,9,176,153,0,0,0,0,0,0,0,0,0,0,34,19,0,0,0,0,0,0,0,0,69,0,0,0,54,3131,3132
5/01/2020,16,80,126,51,0,0,5,0,1425,1270,0,39,42,0,1277,1456,34,174,119,0,0,0,0,0,0,0,0,0,0,34,20,0,0,0,0,0,1,0,0,69,0,0,0,114,3075,3033
5/01/2020,17,70,235,155,0,0,5,0,1221,1054,0,29,30,0,1043,1161,342,142,-199,0,0,0,0,0,0,0,0,0,0,34,22,0,0,0,0,0,1,0,0,0,0,0,0,412,2704,2229
5/01/2020,18,0,126,140,0,0,5,0,1218,1016,0,72,73,0,1252,1390,355,142,-221,0,0,0,0,0,0,0,0,0,0,34,28,0,0,0,0,0,1,0,0,0,0,0,0,355,2844,2432
5/01/2020,19,45,180,129,0,0,5,0,1425,1263,0,61,63,0,1299,1400,509,142,-371,0,0,0,0,0,0,0,0,0,0,34,31,0,0,0,0,0,1,0,0,0,0,0,0,554,3141,2521
5/01/2020,20,46,194,142,0,0,5,0,1450,1554,0,30,30,0,1474,1406,438,142,-297,0,0,0,0,0,0,0,0,0,0,34,20,0,0,0,0,0,1,0,0,-1,0,0,0,484,3324,2860
5/01/2020,21,45,195,149,0,0,5,0,1450,1542,0,29,30,0,1451,1404,48,142,80,0,0,0,0,0,0,0,0,0,0,34,19,0,0,0,0,0,1,0,0,-1,0,0,0,93,3301,3229
5/01/2020,22,130,180,52,0,0,5,0,1450,1602,0,61,62,0,1485,1268,48,142,81,0,0,0,0,0,0,0,0,0,0,34,26,0,0,0,0,0,1,0,0,64,0,0,0,178,3352,3161
5/01/2020,23,77,163,72,0,0,5,0,1450,1474,0,61,55,0,1450,1446,48,142,91,0,0,0,0,0,0,0,0,0,0,34,9,0,0,0,0,0,1,0,0,70,0,0,0,125,3300,3223
5/01/2020,24,111,150,50,0,0,5,0,1421,1468,0,30,31,0,1450,1396,9,754,725,0,0,0,0,0,0,0,0,0,0,34,7,0,0,0,0,0,1,0,0,47,0,0,0,120,3839,3730
6/01/2020,1,42,96,65,0,0,4,0,1450,1495,0,29,31,0,1450,1448,9,1146,1126,0,0,0,0,0,0,0,0,0,0,34,5,0,0,0,0,0,1,0,0,46,0,0,0,51,4205,4221
6/01/2020,2,36,200,144,0,0,4,0,1450,1363,0,29,32,0,1450,1484,9,1239,1224,0,0,0,0,0,0,0,0,0,0,34,32,0,0,0,0,0,1,0,0,46,0,0,0,45,4402,4330
6/01/2020,3,50,96,59,0,0,4,0,1450,1298,0,29,29,0,1450,1517,9,1239,1225,0,0,0,0,0,0,0,0,0,0,34,33,0,0,0,0,0,1,0,0,47,0,0,0,59,4298,4213
6/01/2020,4,45,181,123,0,0,4,0,1450,1352,0,56,47,0,1450,1525,9,1239,1226,0,0,0,0,0,0,0,0,0,0,34,31,0,0,0,0,0,1,0,0,46,0,0,0,54,4410,4355
6/01/2020,5,40,85,57,0,0,4,0,1450,1387,0,56,55,0,1450,1537,9,1239,1214,0,0,0,0,0,1,0,0,0,0,34,33,0,0,0,0,0,1,0,0,45,0,0,0,49,4314,4334
6/01/2020,6,42,123,68,0,0,4,0,1450,1463,0,51,54,0,1450,1420,9,684,660,0,0,0,0,0,1,0,0,0,0,34,39,0,0,0,0,0,1,0,0,41,0,0,0,51,3792,3751
