,WIND_ONSHORE,SOLAR_PV,HYDRO_RUN
0,0.14936863003237677,0.4323689561233302,0.7562334238349306
1,0.12783132637085665,0.30011930928526187,0.7478831417754972
2,0.12053203465720885,0.16377884987535554,0.7474650028191889
3,0.11256246138302674,0.10181698233094841,0.7456495254917234
4,0.1052015709769892,0.06821471917392188,0.745635537186516
5,0.10311566705581261,0.048757299172283323,0.7456355371865161
6,0.09796729709293943,0.038814455044256756,
7,0.09360195177336228,0.024745274877945676,
8,0.08769280800369583,0.022063047189080375,
9,0.08288511264110582,0.0172084585313942,
10,0.07683258644370383,0.016348035604824562,
