,0
669,2028
670,1736
671,1400
672,1204
673,1207
674,1175
675,1067
676,1251
677,1439
678,1844
679,2554
680,2443
681,1827
682,1746
683,1724
684,1311
685,1351
686,1401
687,1490
688,2058
689,2768
690,2722
691,2704
692,2545
693,2060
694,1914
695,1407
696,1188
697,1231
698,1208
699,1070
700,1109
701,1335
702,1802
703,2368
704,2294
705,2230
706,2277
707,1816
708,1542
709,1541
710,1598
711,1985
712,2496
713,2763
714,2714
715,2776
716,2509
717,1969
718,1499
719,1383
720,1293
721,1267
722,1277
723,1137
724,1248
725,1524
726,1707
727,2054
728,2111
729,2119
730,2096
731,1809
732,1776
733,1470
734,1614
735,1549
736,2070
737,2512
738,2483
739,2265
740,2114
741,1924
742,1409
743,1172
744,1110
745,1039
746,1077
747,1009
748,1045
749,1192
750,1289
751,1772
752,1965
753,2015
754,1825
755,1690
756,1703
757,1490
758,1466
759,1461
760,1908
761,2417
762,2411
763,2193
764,1984
765,1930
766,1267
767,1327
768,1183
769,1084
770,1077
771,1013
772,1013
773,1149
774,1207
775,1388
776,1424
777,1912
778,2032
779,1835
780,1818
781,1690
782,1896
783,1906
784,2117
785,2360
786,2322
787,2134
788,1660
789,1463
790,1192
791,1078
792,1060
793,1123
794,1126
795,1056
796,1073
797,1168
798,1454
799,1898
800,2151
801,2205
802,2112
803,2064
804,1916
805,1808
806,2038
807,2110
808,2256
809,2335
810,2391
811,2321
812,2322
813,2220
814,1862
815,1319
816,1185
817,1177
818,1146
819,1063
820,1059
821,1128
822,1283
823,1916
824,2009
825,2140
826,2126
827,2028
828,1907
829,1816
830,1791
831,1853
832,2026
833,2095
834,2060
835,2261
836,2312
837,2051
838,1380
839,1276
840,1201
841,1174
842,1087
843,1041
844,1093
845,1192
846,1549
847,2257
848,2098
849,2073
850,1947
851,1852
852,1947
853,1864
854,1901
855,2111
856,2299
857,2552
858,2512
859,2470
860,2413
861,1814
862,1542
863,1224
864,1123
865,1161
866,1101
867,1088
868,1074
869,1189
870,1648
871,2046
872,2271
873,2219
874,2106
875,1990
876,1985
877,1961
878,1953
879,1972
880,2420
881,2660
882,2764
883,2745
884,2807
885,2575
886,1999
887,1503
888,1098
889,1131
890,1122
891,1065
892,1109
893,1183
894,1547
895,1913
896,1939
897,1941
898,1852
899,1838
900,1948
901,1720
902,1715
903,1766
904,2194
905,2749
906,2767
907,2681
908,2788
909,2548
910,1980
911,1400
912,1206
913,1117
914,1013
915,946
916,1101
917,1130
918,1407
919,1838
920,2288
921,2322
922,2556
923,2145
924,1653
925,1577
926,1629
927,1674
928,2081
929,2693
930,2689
931,2560
932,2218
933,1476
934,1275
935,1175
936,1081
937,1097
938,1106
939,1033
940,1028
941,1139
942,1156
943,1178
944,1395
945,1590
946,1575
947,1755
948,1845
949,2007
950,1862
951,1858
952,2168
953,2384
954,2168
955,2274
956,2183
957,1622
958,1417
959,1145
960,1011
961,1018
962,1033
963,953
964,979
965,1083
966,1611
967,2229
968,2318
969,2375
970,2169
971,1594
972,1346
973,1434
974,1477
975,1593
976,2198
977,2817
978,2808
979,2793
980,2698
981,2413
982,1918
983,1426
984,1277
985,1139
986,1119
987,1045
988,1048
989,1158
990,1565
991,2214
992,2450
993,2427
994,2430
995,1811
996,1732
997,1716
998,1762
999,1686
1000,1724
1001,2111
1002,2325
1003,2038
1004,1971
1005,1716
1006,1459
1007,1250
1008,1168
1009,1081
1010,1087
1011,1072
1012,1090
1013,1169
1014,1516
1015,2212
1016,2055
1017,1843
1018,1838
1019,1467
1020,1457
1021,1471
1022,1479
1023,1567
1024,1839
1025,2557
1026,2917
1027,2906
1028,2813
1029,2149
1030,1605
1031,1220
1032,1182
1033,1206
1034,1085
1035,1014
1036,1088
1037,1263
1038,1579
1039,2285
1040,2652
1041,2530
1042,2371
1043,2164
1044,1890
1045,1796
1046,1717
1047,1767
1048,1896
1049,2351
1050,2447
1051,2473
1052,2335
1053,2047
1054,1645
1055,1366
1056,1136
1057,1137
1058,1137
1059,1119
1060,1198
1061,1677
1062,2194
1063,2771
1064,2865
1065,2758
1066,2195
1067,2014
1068,2041
1069,2065
1070,2139
1071,2107
1072,2529
1073,2811
1074,2854
