,\\Hourly Demand Report,,,
,\\Created at 2021-01-31 07:30:13,,,
,\\For 2020,,,
hour_ending,Date,Hour,Market Demand,Ontario Demand
0,1/01/2020,1,16565,13219
1,1/01/2020,2,16193,12895
2,1/01/2020,3,16072,12554
3,1/01/2020,4,15930,12360
4,1/01/2020,5,15963,12353
5,1/01/2020,6,16057,12458
6,1/01/2020,7,16249,12729
7,1/01/2020,8,16498,13180
8,1/01/2020,9,16686,13406
9,1/01/2020,10,16973,13765
10,1/01/2020,11,17340,14078
11,1/01/2020,12,17537,14373
12,1/01/2020,13,17756,14495
13,1/01/2020,14,17764,14513
14,1/01/2020,15,17857,14690
15,1/01/2020,16,17162,14753
16,1/01/2020,17,17654,15490
17,1/01/2020,18,18537,16324
18,1/01/2020,19,18574,16208
19,1/01/2020,20,18332,15911
20,1/01/2020,21,18314,15535
21,1/01/2020,22,18638,15222
22,1/01/2020,23,17964,14426
23,1/01/2020,24,17201,13698
24,2/01/2020,1,16449,12996
25,2/01/2020,2,16373,12662
26,2/01/2020,3,16031,12435
27,2/01/2020,4,15872,12365
28,2/01/2020,5,16082,12481
29,2/01/2020,6,16587,12940
30,2/01/2020,7,17671,13999
31,2/01/2020,8,19065,15238
32,2/01/2020,9,19484,15655
33,2/01/2020,10,19585,15819
34,2/01/2020,11,19086,15839
35,2/01/2020,12,19024,15846
36,2/01/2020,13,18568,15685
37,2/01/2020,14,19147,15926
38,2/01/2020,15,19114,15932
39,2/01/2020,16,19113,16048
40,2/01/2020,17,19141,16846
41,2/01/2020,18,19784,17621
42,2/01/2020,19,19768,17331
43,2/01/2020,20,19623,17099
44,2/01/2020,21,19173,16784
45,2/01/2020,22,18611,16005
46,2/01/2020,23,18223,15145
47,2/01/2020,24,17277,14154
48,3/01/2020,1,16372,13369
49,3/01/2020,2,16181,12976
50,3/01/2020,3,15810,12588
51,3/01/2020,4,15853,12570
52,3/01/2020,5,16420,12759
53,3/01/2020,6,16798,13419
54,3/01/2020,7,16773,14323
55,3/01/2020,8,17414,15321
56,3/01/2020,9,17897,15941
57,3/01/2020,10,17624,16053
58,3/01/2020,11,18203,16339
59,3/01/2020,12,18034,16358
60,3/01/2020,13,18700,16684
61,3/01/2020,14,18644,16744
62,3/01/2020,15,18323,16516
63,3/01/2020,16,18446,16491
64,3/01/2020,17,18943,16991
65,3/01/2020,18,19776,17675
66,3/01/2020,19,19422,17228
67,3/01/2020,20,19160,16918
68,3/01/2020,21,18590,16669
69,3/01/2020,22,18078,16091
70,3/01/2020,23,17147,15254
71,3/01/2020,24,16388,14304
72,4/01/2020,1,16073,13670
73,4/01/2020,2,15942,13237
74,4/01/2020,3,15583,12942
75,4/01/2020,4,15651,12814
76,4/01/2020,5,15610,12814
77,4/01/2020,6,15984,13030
78,4/01/2020,7,16248,13623
79,4/01/2020,8,16696,14289
80,4/01/2020,9,17290,14854
81,4/01/2020,10,17811,15432
82,4/01/2020,11,18313,15880
83,4/01/2020,12,19004,16125
84,4/01/2020,13,19023,16131
85,4/01/2020,14,18780,16123
86,4/01/2020,15,18824,16082
87,4/01/2020,16,19010,16139
88,4/01/2020,17,19659,16640
89,4/01/2020,18,20309,17273
90,4/01/2020,19,20004,16885
91,4/01/2020,20,19638,16579
92,4/01/2020,21,19243,16251
93,4/01/2020,22,18718,15788
94,4/01/2020,23,17774,15023
95,4/01/2020,24,17073,14213
96,5/01/2020,1,17067,13678
97,5/01/2020,2,17138,13156
98,5/01/2020,3,16853,12831
99,5/01/2020,4,17164,12827
100,5/01/2020,5,17015,12822
101,5/01/2020,6,17168,12994
102,5/01/2020,7,16897,13468
103,5/01/2020,8,16862,13991
104,5/01/2020,9,17097,14406
105,5/01/2020,10,17559,14727
106,5/01/2020,11,17630,14913
107,5/01/2020,12,17804,14979
108,5/01/2020,13,18123,15208
109,5/01/2020,14,18507,15412
110,5/01/2020,15,18812,15750
111,5/01/2020,16,18988,15992
112,5/01/2020,17,19492,16846
113,5/01/2020,18,20677,17885
114,5/01/2020,19,20700,17617
115,5/01/2020,20,20547,17288
116,5/01/2020,21,20094,16853
117,5/01/2020,22,19499,16207
118,5/01/2020,23,18616,15354
119,5/01/2020,24,18268,14477
120,6/01/2020,1,18079,13928
121,6/01/2020,2,17963,13629
122,6/01/2020,3,17719,13484
123,6/01/2020,4,17792,13454
124,6/01/2020,5,17828,13602
125,6/01/2020,6,17906,14206
126,6/01/2020,7,18635,15539
127,6/01/2020,8,20196,16992
128,6/01/2020,9,20243,17125
129,6/01/2020,10,20168,17055
130,6/01/2020,11,20222,16949
131,6/01/2020,12,19842,16846
132,6/01/2020,13,19684,16738
133,6/01/2020,14,19692,16548
134,6/01/2020,15,19497,16419
135,6/01/2020,16,19767,16723
136,6/01/2020,17,20833,17668
137,6/01/2020,18,22021,18680
138,6/01/2020,19,21367,18368
139,6/01/2020,20,21199,18196
140,6/01/2020,21,20134,17817
141,6/01/2020,22,19766,17122
142,6/01/2020,23,18724,16078
143,6/01/2020,24,17914,14881
144,7/01/2020,1,17202,14347
145,7/01/2020,2,17177,14010
146,7/01/2020,3,16608,13781
147,7/01/2020,4,16643,13867
148,7/01/2020,5,16639,14074
149,7/01/2020,6,17245,14606
150,7/01/2020,7,18854,15931
151,7/01/2020,8,19690,17335
152,7/01/2020,9,19963,17547
153,7/01/2020,10,19789,17363
154,7/01/2020,11,19599,17155
155,7/01/2020,12,19720,16869
156,7/01/2020,13,19163,16508
157,7/01/2020,14,18633,16333
158,7/01/2020,15,18913,16439
159,7/01/2020,16,19431,16715
160,7/01/2020,17,20354,17399
161,7/01/2020,18,21012,18266
162,7/01/2020,19,21349,18118
163,7/01/2020,20,21208,18010
164,7/01/2020,21,20820,17686
165,7/01/2020,22,20278,16970
166,7/01/2020,23,19134,16024
167,7/01/2020,24,18605,14916
168,8/01/2020,1,18269,14222
169,8/01/2020,2,17423,13877
170,8/01/2020,3,17717,13682
171,8/01/2020,4,17839,13733
172,8/01/2020,5,17999,13914
173,8/01/2020,6,18314,14500
174,8/01/2020,7,18748,15743
175,8/01/2020,8,20466,17297
176,8/01/2020,9,20417,17549
177,8/01/2020,10,20510,17465
178,8/01/2020,11,20526,17360
179,8/01/2020,12,20088,17291
180,8/01/2020,13,20320,17134
181,8/01/2020,14,20167,17035
182,8/01/2020,15,19713,17162
183,8/01/2020,16,20433,17606
184,8/01/2020,17,21196,18465
185,8/01/2020,18,21888,19597
186,8/01/2020,19,22118,19786
187,8/01/2020,20,21947,19688
188,8/01/2020,21,21568,19503
189,8/01/2020,22,20430,18598
190,8/01/2020,23,19083,17607
191,8/01/2020,24,18029,16503
192,9/01/2020,1,17652,15786
193,9/01/2020,2,17664,15456
194,9/01/2020,3,17554,15165
195,9/01/2020,4,17702,15115
196,9/01/2020,5,18189,15348
197,9/01/2020,6,18630,15751
198,9/01/2020,7,19843,16969
199,9/01/2020,8,20690,18288
200,9/01/2020,9,21101,18448
201,9/01/2020,10,20720,17980
202,9/01/2020,11,20470,17776
203,9/01/2020,12,20310,17618
204,9/01/2020,13,20543,17638
205,9/01/2020,14,21212,17858
206,9/01/2020,15,21472,17896
207,9/01/2020,16,21440,18289
208,9/01/2020,17,21888,18887
209,9/01/2020,18,22831,19758
210,9/01/2020,19,22517,19587
211,9/01/2020,20,22134,19294
212,9/01/2020,21,21508,18842
213,9/01/2020,22,20462,17985
214,9/01/2020,23,19405,16785
215,9/01/2020,24,18505,15603
216,10/01/2020,1,18263,14871
217,10/01/2020,2,17742,14289
218,10/01/2020,3,17436,13879
219,10/01/2020,4,17265,13714
220,10/01/2020,5,17321,13789
221,10/01/2020,6,17927,14350
222,10/01/2020,7,18853,15546
223,10/01/2020,8,19929,16947
224,10/01/2020,9,20307,17492
225,10/01/2020,10,20289,17355
226,10/01/2020,11,20293,17425
227,10/01/2020,12,20364,17529
228,10/01/2020,13,20014,17451
229,10/01/2020,14,20034,17486
230,10/01/2020,15,19574,17396
231,10/01/2020,16,19590,17520
232,10/01/2020,17,20033,17951
233,10/01/2020,18,20700,18297
234,10/01/2020,19,19826,17691
235,10/01/2020,20,18966,17317
236,10/01/2020,21,18487,16996
237,10/01/2020,22,18516,16443
238,10/01/2020,23,17887,15623
239,10/01/2020,24,16451,14421
240,11/01/2020,1,16267,13665
241,11/01/2020,2,16377,13151
242,11/01/2020,3,16734,12932
243,11/01/2020,4,16960,12680
244,11/01/2020,5,16833,12642
245,11/01/2020,6,16970,12836
246,11/01/2020,7,17466,13526
247,11/01/2020,8,17758,14171
248,11/01/2020,9,18331,14770
249,11/01/2020,10,19084,15641
250,11/01/2020,11,19317,16397
251,11/01/2020,12,19471,16638
252,11/01/2020,13,19359,16955
253,11/01/2020,14,19244,17318
254,11/01/2020,15,19011,17352
255,11/01/2020,16,19004,17160
256,11/01/2020,17,19530,17613
257,11/01/2020,18,20170,18052
258,11/01/2020,19,19916,17561
259,11/01/2020,20,19493,17039
260,11/01/2020,21,18956,16771
261,11/01/2020,22,18412,16237
262,11/01/2020,23,17674,15427
263,11/01/2020,24,17350,14601
264,12/01/2020,1,16953,14042
265,12/01/2020,2,17236,13671
266,12/01/2020,3,17584,13474
267,12/01/2020,4,17305,13440
268,12/01/2020,5,17389,13387
269,12/01/2020,6,17797,13709
270,12/01/2020,7,18187,14288
271,12/01/2020,8,18670,14948
272,12/01/2020,9,18632,15583
273,12/01/2020,10,18673,16179
274,12/01/2020,11,19202,16759
275,12/01/2020,12,18943,16970
276,12/01/2020,13,18673,17134
277,12/01/2020,14,18722,16996
278,12/01/2020,15,18655,17032
279,12/01/2020,16,18432,17278
280,12/01/2020,17,19285,17983
281,12/01/2020,18,20026,19012
282,12/01/2020,19,19831,18687
283,12/01/2020,20,19527,18112
284,12/01/2020,21,19522,17642
285,12/01/2020,22,18911,17063
286,12/01/2020,23,18003,16240
287,12/01/2020,24,17160,15448
288,13/01/2020,1,16563,14740
289,13/01/2020,2,16095,14359
290,13/01/2020,3,16426,14339
291,13/01/2020,4,16297,14488
292,13/01/2020,5,16098,14462
293,13/01/2020,6,16857,15178
294,13/01/2020,7,18167,16554
295,13/01/2020,8,19491,17968
296,13/01/2020,9,20096,18421
297,13/01/2020,10,20283,18480
298,13/01/2020,11,20448,18391
299,13/01/2020,12,20374,18249
300,13/01/2020,13,19886,18132
301,13/01/2020,14,20152,18049
302,13/01/2020,15,20153,18005
303,13/01/2020,16,20467,18108
304,13/01/2020,17,21038,18642
305,13/01/2020,18,21085,19271
306,13/01/2020,19,20389,19041
307,13/01/2020,20,20475,18771
308,13/01/2020,21,20001,18349
309,13/01/2020,22,19449,17631
310,13/01/2020,23,18164,16486
311,13/01/2020,24,16820,15353
312,14/01/2020,1,15707,14611
313,14/01/2020,2,15135,14013
314,14/01/2020,3,15119,13792
315,14/01/2020,4,15521,13749
316,14/01/2020,5,15448,14068
317,14/01/2020,6,17035,14668
318,14/01/2020,7,18875,15920
319,14/01/2020,8,20429,17457
320,14/01/2020,9,20454,17751
321,14/01/2020,10,20295,17680
322,14/01/2020,11,20276,18022
323,14/01/2020,12,20420,18070
324,14/01/2020,13,19958,17884
325,14/01/2020,14,19820,17809
326,14/01/2020,15,19779,17716
327,14/01/2020,16,19896,17905
328,14/01/2020,17,20459,18392
329,14/01/2020,18,21233,19128
330,14/01/2020,19,21095,18766
331,14/01/2020,20,21215,18361
332,14/01/2020,21,20696,17992
333,14/01/2020,22,20321,17376
334,14/01/2020,23,19152,16401
335,14/01/2020,24,17847,15098
336,15/01/2020,1,16502,14319
337,15/01/2020,2,16512,14114
338,15/01/2020,3,16366,13952
339,15/01/2020,4,16271,13742
340,15/01/2020,5,16206,13900
341,15/01/2020,6,16815,14569
342,15/01/2020,7,18024,15852
343,15/01/2020,8,19633,17223
344,15/01/2020,9,19557,17405
345,15/01/2020,10,19674,17378
346,15/01/2020,11,19724,17460
347,15/01/2020,12,19847,17284
348,15/01/2020,13,19739,17361
349,15/01/2020,14,19393,17128
350,15/01/2020,15,19240,17157
351,15/01/2020,16,19696,17428
352,15/01/2020,17,20014,17933
353,15/01/2020,18,20948,18573
354,15/01/2020,19,21092,18667
355,15/01/2020,20,20512,18315
356,15/01/2020,21,20201,17972
357,15/01/2020,22,19264,17284
358,15/01/2020,23,18139,16197
359,15/01/2020,24,17104,15070
360,16/01/2020,1,16062,14258
361,16/01/2020,2,16371,13938
362,16/01/2020,3,16620,13913
363,16/01/2020,4,17288,13919
364,16/01/2020,5,17560,14069
365,16/01/2020,6,17463,14603
366,16/01/2020,7,18530,15811
367,16/01/2020,8,19906,17207
368,16/01/2020,9,20287,17574
369,16/01/2020,10,20204,17430
370,16/01/2020,11,19991,17317
371,16/01/2020,12,19999,17288
372,16/01/2020,13,19865,17150
373,16/01/2020,14,19838,17148
374,16/01/2020,15,19843,17100
375,16/01/2020,16,20105,17340
376,16/01/2020,17,20758,18021
377,16/01/2020,18,21636,18926
378,16/01/2020,19,21883,19155
379,16/01/2020,20,21660,18982
380,16/01/2020,21,21369,18730
381,16/01/2020,22,20689,18135
382,16/01/2020,23,19429,17174
383,16/01/2020,24,18603,16097
384,17/01/2020,1,18234,15653
385,17/01/2020,2,18015,15442
386,17/01/2020,3,17911,15353
387,17/01/2020,4,17743,15340
388,17/01/2020,5,17867,15597
389,17/01/2020,6,18361,16202
390,17/01/2020,7,19197,17401
391,17/01/2020,8,20593,18891
392,17/01/2020,9,20897,19202
393,17/01/2020,10,20531,18835
394,17/01/2020,11,20419,18544
395,17/01/2020,12,20244,18312
396,17/01/2020,13,20538,18110
397,17/01/2020,14,20280,17936
398,17/01/2020,15,20145,17859
399,17/01/2020,16,20382,18142
400,17/01/2020,17,21214,18877
401,17/01/2020,18,22076,19928
402,17/01/2020,19,21785,19739
403,17/01/2020,20,21689,19617
404,17/01/2020,21,21376,19277
405,17/01/2020,22,20217,18508
406,17/01/2020,23,19158,17646
407,17/01/2020,24,17800,16227
408,18/01/2020,1,17840,15466
409,18/01/2020,2,17597,14990
410,18/01/2020,3,17695,14615
411,18/01/2020,4,17636,14543
412,18/01/2020,5,17833,14504
413,18/01/2020,6,18380,14832
414,18/01/2020,7,18928,15442
415,18/01/2020,8,19027,16040
416,18/01/2020,9,19740,16995
417,18/01/2020,10,20261,17692
418,18/01/2020,11,20998,18189
419,18/01/2020,12,20680,18524
420,18/01/2020,13,20974,18721
421,18/01/2020,14,21200,18640
422,18/01/2020,15,21327,18462
423,18/01/2020,16,21449,18449
424,18/01/2020,17,21871,18798
425,18/01/2020,18,22490,19417
426,18/01/2020,19,22271,19030
427,18/01/2020,20,21477,18305
428,18/01/2020,21,20677,17667
429,18/01/2020,22,19753,16926
430,18/01/2020,23,18989,16157
431,18/01/2020,24,18010,15280
432,19/01/2020,1,17645,14570
433,19/01/2020,2,17510,14154
434,19/01/2020,3,17728,14034
435,19/01/2020,4,17603,13813
436,19/01/2020,5,17169,13669
437,19/01/2020,6,17210,14012
438,19/01/2020,7,17814,14457
439,19/01/2020,8,17670,15025
440,19/01/2020,9,18546,15781
441,19/01/2020,10,19421,16458
442,19/01/2020,11,19560,16809
443,19/01/2020,12,19682,16880
444,19/01/2020,13,19595,17063
445,19/01/2020,14,19689,17003
446,19/01/2020,15,19784,16974
447,19/01/2020,16,19998,17145
448,19/01/2020,17,20537,17771
449,19/01/2020,18,21857,18939
450,19/01/2020,19,21855,19032
451,19/01/2020,20,21546,18742
452,19/01/2020,21,21242,18487
453,19/01/2020,22,20652,17852
454,19/01/2020,23,19072,16806
455,19/01/2020,24,18122,15911
456,20/01/2020,1,17610,15390
457,20/01/2020,2,17564,15211
458,20/01/2020,3,17241,14957
459,20/01/2020,4,17125,15020
460,20/01/2020,5,17079,15346
461,20/01/2020,6,18150,16068
462,20/01/2020,7,19424,17245
463,20/01/2020,8,20628,18571
464,20/01/2020,9,20940,18897
465,20/01/2020,10,21136,18798
466,20/01/2020,11,21118,18562
467,20/01/2020,12,20643,18230
468,20/01/2020,13,20093,17876
469,20/01/2020,14,20077,17571
470,20/01/2020,15,19891,17457
471,20/01/2020,16,20009,17708
472,20/01/2020,17,21002,18472
473,20/01/2020,18,22261,19522
474,20/01/2020,19,22568,19756
475,20/01/2020,20,22433,19560
476,20/01/2020,21,21978,19233
477,20/01/2020,22,21005,18500
478,20/01/2020,23,19549,17419
479,20/01/2020,24,18638,16452
480,21/01/2020,1,18128,15764
481,21/01/2020,2,17812,15360
482,21/01/2020,3,17553,15140
483,21/01/2020,4,17452,15053
484,21/01/2020,5,17501,15250
485,21/01/2020,6,17932,15744
486,21/01/2020,7,19982,17087
487,21/01/2020,8,21470,18481
488,21/01/2020,9,21449,18793
489,21/01/2020,10,21452,18750
490,21/01/2020,11,21399,18684
491,21/01/2020,12,21330,18435
492,21/01/2020,13,20816,18297
493,21/01/2020,14,20777,18253
494,21/01/2020,15,20629,18155
495,21/01/2020,16,20593,18202
496,21/01/2020,17,19787,18003
497,21/01/2020,18,20538,18600
498,21/01/2020,19,20512,18721
499,21/01/2020,20,20228,18485
500,21/01/2020,21,19542,18278
501,21/01/2020,22,19800,17954
502,21/01/2020,23,18782,16841
503,21/01/2020,24,17749,15864
504,22/01/2020,1,17318,15152
505,22/01/2020,2,17435,14807
506,22/01/2020,3,17096,14595
507,22/01/2020,4,16791,14546
508,22/01/2020,5,16941,14642
509,22/01/2020,6,17783,15234
510,22/01/2020,7,19083,16552
511,22/01/2020,8,20621,17946
512,22/01/2020,9,20527,18091
513,22/01/2020,10,20487,17938
514,22/01/2020,11,20787,17848
515,22/01/2020,12,20380,17549
516,22/01/2020,13,19999,17149
517,22/01/2020,14,19718,17026
518,22/01/2020,15,19727,17195
519,22/01/2020,16,20079,17559
520,22/01/2020,17,20532,18236
521,22/01/2020,18,21426,19013
522,22/01/2020,19,21606,19126
523,22/01/2020,20,21154,18932
524,22/01/2020,21,20763,18649
525,22/01/2020,22,20203,18042
526,22/01/2020,23,19111,16925
527,22/01/2020,24,17857,15684
528,23/01/2020,1,16886,14807
529,23/01/2020,2,16608,14377
530,23/01/2020,3,16370,14111
531,23/01/2020,4,16438,14079
532,23/01/2020,5,16757,14479
533,23/01/2020,6,17153,14918
534,23/01/2020,7,18465,16102
535,23/01/2020,8,19835,17458
536,23/01/2020,9,20034,17729
537,23/01/2020,10,19889,17593
538,23/01/2020,11,20190,17667
539,23/01/2020,12,20140,17576
540,23/01/2020,13,20039,17314
541,23/01/2020,14,19856,17271
542,23/01/2020,15,19812,17317
543,23/01/2020,16,19869,17453
544,23/01/2020,17,20297,17946
545,23/01/2020,18,20628,18537
546,23/01/2020,19,20667,18559
547,23/01/2020,20,20910,18382
548,23/01/2020,21,20492,18038
549,23/01/2020,22,19682,17462
550,23/01/2020,23,18954,16359
551,23/01/2020,24,17579,15204
552,24/01/2020,1,17084,14418
553,24/01/2020,2,16639,14039
554,24/01/2020,3,16515,13841
555,24/01/2020,4,16848,13800
556,24/01/2020,5,16767,13817
557,24/01/2020,6,16926,14305
558,24/01/2020,7,18094,15469
559,24/01/2020,8,19426,16851
560,24/01/2020,9,19660,17138
561,24/01/2020,10,19681,17171
562,24/01/2020,11,19336,16958
563,24/01/2020,12,19133,16825
564,24/01/2020,13,19161,16611
565,24/01/2020,14,18654,16380
566,24/01/2020,15,19017,16417
567,24/01/2020,16,19255,16602
568,24/01/2020,17,19860,17128
569,24/01/2020,18,20603,17720
570,24/01/2020,19,20473,17768
571,24/01/2020,20,20365,17639
572,24/01/2020,21,20096,17408
573,24/01/2020,22,19605,16876
574,24/01/2020,23,18689,15881
575,24/01/2020,24,17826,14747
576,25/01/2020,1,17610,14282
577,25/01/2020,2,16958,13691
578,25/01/2020,3,16856,13305
579,25/01/2020,4,16570,13151
580,25/01/2020,5,16844,13372
581,25/01/2020,6,16842,13732
582,25/01/2020,7,16486,14111
583,25/01/2020,8,17106,14877
584,25/01/2020,9,17257,15642
585,25/01/2020,10,18077,16237
586,25/01/2020,11,18552,16738
587,25/01/2020,12,18978,16961
588,25/01/2020,13,19069,17037
589,25/01/2020,14,18957,16948
590,25/01/2020,15,18857,16846
591,25/01/2020,16,19081,16844
592,25/01/2020,17,19641,17178
593,25/01/2020,18,20050,17629
594,25/01/2020,19,19786,17417
595,25/01/2020,20,18947,16868
596,25/01/2020,21,18336,16414
597,25/01/2020,22,18019,15823
598,25/01/2020,23,17313,15118
599,25/01/2020,24,16595,14379
600,26/01/2020,1,16836,13852
601,26/01/2020,2,16777,13376
602,26/01/2020,3,16622,13013
603,26/01/2020,4,16523,12964
604,26/01/2020,5,16549,12913
605,26/01/2020,6,16651,13096
606,26/01/2020,7,17000,13482
607,26/01/2020,8,17107,14048
608,26/01/2020,9,17622,14612
609,26/01/2020,10,17941,15261
610,26/01/2020,11,18174,15664
611,26/01/2020,12,18322,15867
612,26/01/2020,13,18365,16037
613,26/01/2020,14,18430,16007
614,26/01/2020,15,18477,16116
615,26/01/2020,16,19064,16313
616,26/01/2020,17,19557,16871
617,26/01/2020,18,20179,17646
618,26/01/2020,19,20358,17669
619,26/01/2020,20,19691,17260
620,26/01/2020,21,19406,16886
621,26/01/2020,22,18828,16303
622,26/01/2020,23,18085,15576
623,26/01/2020,24,17428,14754
624,27/01/2020,1,17162,14172
625,27/01/2020,2,16921,13761
626,27/01/2020,3,16999,13654
627,27/01/2020,4,17033,13591
628,27/01/2020,5,17105,13751
629,27/01/2020,6,17486,14296
630,27/01/2020,7,17970,15433
631,27/01/2020,8,19604,16895
632,27/01/2020,9,19975,17259
633,27/01/2020,10,19983,17324
634,27/01/2020,11,20208,17418
635,27/01/2020,12,20163,17374
636,27/01/2020,13,20047,17312
637,27/01/2020,14,19966,17265
638,27/01/2020,15,19793,17229
639,27/01/2020,16,19978,17471
640,27/01/2020,17,20405,17990
641,27/01/2020,18,21043,18722
642,27/01/2020,19,21189,18772
643,27/01/2020,20,21164,18574
644,27/01/2020,21,20861,18112
645,27/01/2020,22,20072,17475
646,27/01/2020,23,19082,16489
647,27/01/2020,24,17742,15337
648,28/01/2020,1,16600,14547
649,28/01/2020,2,16240,14105
650,28/01/2020,3,16189,13912
651,28/01/2020,4,16541,13861
652,28/01/2020,5,16996,14041
653,28/01/2020,6,17496,14600
654,28/01/2020,7,18702,15950
655,28/01/2020,8,19901,17504
656,28/01/2020,9,20032,17631
657,28/01/2020,10,19661,17502
658,28/01/2020,11,19910,17523
659,28/01/2020,12,19746,17430
660,28/01/2020,13,19635,17409
661,28/01/2020,14,20002,17478
662,28/01/2020,15,20140,17446
663,28/01/2020,16,20245,17678
664,28/01/2020,17,20730,18150
665,28/01/2020,18,21445,18800
666,28/01/2020,19,21646,18937
667,28/01/2020,20,21289,18757
668,28/01/2020,21,20937,18367
669,28/01/2020,22,19973,17629
670,28/01/2020,23,18909,16686
671,28/01/2020,24,17862,15678
672,29/01/2020,1,17385,14971
673,29/01/2020,2,16969,14701
674,29/01/2020,3,16903,14548
675,29/01/2020,4,17015,14619
676,29/01/2020,5,17355,14795
677,29/01/2020,6,18148,15401
678,29/01/2020,7,19231,16509
679,29/01/2020,8,20151,17764
680,29/01/2020,9,20573,18127
681,29/01/2020,10,20018,17630
682,29/01/2020,11,19795,17247
683,29/01/2020,12,19485,16907
684,29/01/2020,13,19166,16714
685,29/01/2020,14,18987,16587
686,29/01/2020,15,18727,16555
687,29/01/2020,16,19194,16903
688,29/01/2020,17,20072,17660
689,29/01/2020,18,21494,18729
690,29/01/2020,19,21834,19340
691,29/01/2020,20,21459,19176
692,29/01/2020,21,21112,18784
693,29/01/2020,22,20570,18005
694,29/01/2020,23,19356,17050
695,29/01/2020,24,18280,16013
696,30/01/2020,1,17447,15430
697,30/01/2020,2,17143,15101
698,30/01/2020,3,17050,14918
699,30/01/2020,4,17209,14920
700,30/01/2020,5,17337,15050
701,30/01/2020,6,18330,15582
702,30/01/2020,7,19522,16837
703,30/01/2020,8,20630,18151
704,30/01/2020,9,20506,18369
705,30/01/2020,10,20579,18113
706,30/01/2020,11,20304,17934
707,30/01/2020,12,20005,17759
708,30/01/2020,13,19573,17424
709,30/01/2020,14,19500,17271
710,30/01/2020,15,19447,17295
711,30/01/2020,16,19715,17575
712,30/01/2020,17,20261,18182
713,30/01/2020,18,21198,18860
714,30/01/2020,19,21476,19160
715,30/01/2020,20,21423,18972
716,30/01/2020,21,21207,18655
717,30/01/2020,22,20379,17993
718,30/01/2020,23,18994,17000
719,30/01/2020,24,17882,15973
720,31/01/2020,1,17393,15253
721,31/01/2020,2,16916,14887
722,31/01/2020,3,16546,14648
723,31/01/2020,4,16821,14542
724,31/01/2020,5,17123,14639
725,31/01/2020,6,18003,15300
726,31/01/2020,7,19287,16511
727,31/01/2020,8,20018,17790
728,31/01/2020,9,20406,18067
729,31/01/2020,10,20366,18047
730,31/01/2020,11,20477,18020
731,31/01/2020,12,20709,18004
732,31/01/2020,13,20552,17886
733,31/01/2020,14,20377,17842
734,31/01/2020,15,20071,17854
735,31/01/2020,16,20202,17828
736,31/01/2020,17,20587,18209
737,31/01/2020,18,21049,18723
738,31/01/2020,19,21305,18902
739,31/01/2020,20,20700,18555
740,31/01/2020,21,20511,18119
741,31/01/2020,22,19745,17533
742,31/01/2020,23,18567,16515
743,31/01/2020,24,17224,15458
744,1/02/2020,1,17113,14714
745,1/02/2020,2,16754,14250
746,1/02/2020,3,16386,13927
747,1/02/2020,4,16079,13816
748,1/02/2020,5,16244,13835
749,1/02/2020,6,16741,14162
750,1/02/2020,7,17111,14548
751,1/02/2020,8,17477,15137
752,1/02/2020,9,17942,15812
753,1/02/2020,10,18756,16276
754,1/02/2020,11,19130,16452
755,1/02/2020,12,19106,16357
756,1/02/2020,13,18939,16289
757,1/02/2020,14,19037,16302
758,1/02/2020,15,18821,16059
759,1/02/2020,16,18972,16150
760,1/02/2020,17,19385,16742
761,1/02/2020,18,20299,17522
762,1/02/2020,19,20414,17687
763,1/02/2020,20,19482,17070
764,1/02/2020,21,19421,16634
765,1/02/2020,22,18676,16069
766,1/02/2020,23,17995,15353
767,1/02/2020,24,17670,14925
768,2/02/2020,1,17297,14209
769,2/02/2020,2,16790,13732
770,2/02/2020,3,16328,13464
771,2/02/2020,4,16132,13259
772,2/02/2020,5,16210,13239
773,2/02/2020,6,16505,13409
774,2/02/2020,7,16611,13590
775,2/02/2020,8,17205,14127
776,2/02/2020,9,17818,14840
777,2/02/2020,10,18399,15409
778,2/02/2020,11,19048,15947
779,2/02/2020,12,19293,16182
780,2/02/2020,13,19273,16265
781,2/02/2020,14,19015,16157
782,2/02/2020,15,18953,16194
783,2/02/2020,16,19164,16400
784,2/02/2020,17,19250,16767
785,2/02/2020,18,19493,17463
786,2/02/2020,19,19847,17696
787,2/02/2020,20,19342,16990
788,2/02/2020,21,18503,16442
789,2/02/2020,22,18293,15865
790,2/02/2020,23,17523,15048
791,2/02/2020,24,16842,14245
792,3/02/2020,1,16705,13607
793,3/02/2020,2,16408,13249
794,3/02/2020,3,15871,13174
795,3/02/2020,4,15819,13173
796,3/02/2020,5,16106,13325
797,3/02/2020,6,16726,13934
798,3/02/2020,7,18052,15304
799,3/02/2020,8,19215,16651
800,3/02/2020,9,19169,16849
801,3/02/2020,10,19208,16643
802,3/02/2020,11,19225,16635
803,3/02/2020,12,18938,16414
804,3/02/2020,13,18488,16085
805,3/02/2020,14,18391,15846
806,3/02/2020,15,17914,15889
807,3/02/2020,16,18315,16213
808,3/02/2020,17,18176,16849
809,3/02/2020,18,18525,17741
810,3/02/2020,19,19382,18137
811,3/02/2020,20,19362,17922
812,3/02/2020,21,19130,17606
813,3/02/2020,22,18505,16878
814,3/02/2020,23,17579,15877
815,3/02/2020,24,16705,14796
816,4/02/2020,1,16448,14274
817,4/02/2020,2,15989,13907
818,4/02/2020,3,15532,13654
