,0
0,2337.0
1,2324.0
2,2295.0
3,2281.0
4,2306.0
5,2312.0
6,2323.0
7,2275.0
8,2330.0
9,2289.0
10,2315.0
11,2358.0
12,2372.0
13,2354.0
14,2343.0
15,2336.0
16,2358.0
17,2375.0
18,2374.0
19,2354.0
20,2289.0
21,2289.0
22,2279.0
23,2224.0
24,2427.0
25,2421.0
26,2418.0
27,2420.0
28,2425.0
29,2425.0
30,2457.0
31,2537.0
32,2552.0
33,2523.0
34,2514.0
35,2557.0
36,2595.0
37,2559.0
38,2563.0
39,2593.0
40,2571.0
41,2589.0
42,2603.0
43,2626.0
44,2576.0
45,2652.0
46,2561.0
47,2515.0
48,2452.0
49,2473.0
50,2522.0
51,2463.0
52,2546.0
53,2462.0
54,2437.0
55,2666.0
56,2708.0
57,2712.0
58,3040.0
59,3018.0
60,3102.0
61,3127.0
62,3114.0
63,2942.0
64,3115.0
65,3208.0
66,3052.0
67,2788.0
68,2832.0
69,2661.0
70,2473.0
71,2442.0
72,2634.0
73,2511.0
74,2277.0
75,2506.0
76,2536.0
77,2816.0
78,2577.0
79,2617.0
80,2636.0
81,2920.0
82,3084.0
83,3089.0
84,2918.0
85,3082.0
86,2620.0
87,2620.0
88,2668.0
89,2918.0
90,2779.0
91,2787.0
92,2955.0
93,2788.0
94,2542.0
95,2471.0
96,2447.0
97,2440.0
98,2468.0
99,2491.0
100,2512.0
101,2490.0
102,2512.0
103,2493.0
104,2554.0
105,2602.0
106,2565.0
107,2612.0
108,2602.0
109,2639.0
110,2623.0
111,2617.0
112,2666.0
113,2944.0
114,2829.0
115,2672.0
116,2614.0
117,2593.0
118,2489.0
119,2427.0
120,2415.0
121,2455.0
122,2453.0
123,2417.0
124,2406.0
125,2421.0
126,2472.0
127,2789.0
128,2605.0
129,2572.0
130,2658.0
131,2600.0
132,2567.0
133,2579.0
134,2601.0
135,2628.0
136,2638.0
137,2828.0
138,2680.0
139,2709.0
140,2576.0
141,2585.0
142,2513.0
143,2564.0
144,2478.0
145,2481.0
146,2502.0
147,2551.0
148,2459.0
149,2487.0
150,2610.0
151,2973.0
152,2918.0
153,2714.0
154,2870.0
155,2902.0
156,2650.0
157,2540.0
158,2552.0
159,2620.0
160,2628.0
161,2662.0
162,2665.0
163,2689.0
164,2632.0
165,2675.0
166,2589.0
167,2467.0
168,2484.0
169,2468.0
170,2479.0
171,2449.0
172,2472.0
173,2488.0
174,2495.0
175,2829.0
